Operation,Size,TestNumber,Time(ms)
Insert,1000,1,0.00115037
Insert,1000,2,0.001212
Insert,1000,3,0.00115242
Insert,1000,4,0.00112988
Insert,1000,5,0.00114829
Insert,1000,6,0.00133987
Insert,1000,7,0.00128746
Insert,1000,8,0.00117317
Insert,1000,9,0.00168608
Insert,1000,10,0.0012325
Search,1000,1,0.000607625
Search,1000,2,0.000524
Search,1000,3,0.00041575
Search,1000,4,0.000393125
Search,1000,5,0.000410042
Search,1000,6,0.000395875
Search,1000,7,0.000398083
Search,1000,8,0.000382084
Search,1000,9,0.000382375
Search,1000,10,0.000406959
Delete,1000,1,0.00113454
Delete,1000,2,0.00135538
Delete,1000,3,0.00119662
Delete,1000,4,0.00110608
Delete,1000,5,0.00150492
Delete,1000,6,0.00131646
Delete,1000,7,0.001544
Delete,1000,8,0.00100817
Delete,1000,9,0.00102271
Delete,1000,10,0.00109142
Insert,5000,1,0.00141323
Insert,5000,2,0.00160824
Insert,5000,3,0.00148436
Insert,5000,4,0.00155243
Insert,5000,5,0.00147518
Insert,5000,6,0.00148668
Insert,5000,7,0.00130697
Insert,5000,8,0.00124523
Insert,5000,9,0.0012448
Insert,5000,10,0.00129523
Search,5000,1,0.000524708
Search,5000,2,0.000509767
Search,5000,3,0.000549875
Search,5000,4,0.000507733
Search,5000,5,0.0005046
Search,5000,6,0.000505825
Search,5000,7,0.000505333
Search,5000,8,0.000505858
Search,5000,9,0.000503183
Search,5000,10,0.000528683
Delete,5000,1,0.00133795
Delete,5000,2,0.00124384
Delete,5000,3,0.00121762
Delete,5000,4,0.00115253
Delete,5000,5,0.00117812
Delete,5000,6,0.0011359
Delete,5000,7,0.00112114
Delete,5000,8,0.00108318
Delete,5000,9,0.00107229
Delete,5000,10,0.00106744
Insert,10000,1,0.00128834
Insert,10000,2,0.00135653
Insert,10000,3,0.00138461
Insert,10000,4,0.00137254
Insert,10000,5,0.0013489
Insert,10000,6,0.00133871
Insert,10000,7,0.00132402
Insert,10000,8,0.00130892
Insert,10000,9,0.00129514
Insert,10000,10,0.0012855
Search,10000,1,0.000578879
Search,10000,2,0.000641821
Search,10000,3,0.000591667
Search,10000,4,0.000600742
Search,10000,5,0.000593021
Search,10000,6,0.000587342
Search,10000,7,0.000592208
Search,10000,8,0.000579213
Search,10000,9,0.000584542
Search,10000,10,0.0005862
Delete,10000,1,0.00138596
Delete,10000,2,0.00131811
Delete,10000,3,0.00126988
Delete,10000,4,0.00123056
Delete,10000,5,0.00121662
Delete,10000,6,0.00119065
Delete,10000,7,0.00119061
Delete,10000,8,0.00117508
Delete,10000,9,0.00114698
Delete,10000,10,0.00112842
Insert,50000,1,0.00142252
Insert,50000,2,0.00226277
Insert,50000,3,0.00152116
Insert,50000,4,0.0015028
Insert,50000,5,0.00151337
Insert,50000,6,0.00151771
Insert,50000,7,0.00152419
Insert,50000,8,0.00153029
Insert,50000,9,0.00154907
Insert,50000,10,0.00155136
Search,50000,1,0.000921933
Search,50000,2,0.00107355
Search,50000,3,0.00117977
Search,50000,4,0.000880117
Search,50000,5,0.000847048
Search,50000,6,0.000831349
Search,50000,7,0.000834748
Search,50000,8,0.000830044
Search,50000,9,0.000830469
Search,50000,10,0.000845322
Delete,50000,1,0.00167351
Delete,50000,2,0.00155515
Delete,50000,3,0.0016568
Delete,50000,4,0.00160425
Delete,50000,5,0.00167758
Delete,50000,6,0.00158778
Delete,50000,7,0.00179985
Delete,50000,8,0.00164297
Delete,50000,9,0.00163476
Delete,50000,10,0.00163416
Insert,100000,1,0.00150033
Insert,100000,2,0.00165469
Insert,100000,3,0.00171723
Insert,100000,4,0.00188717
Insert,100000,5,0.0018242
Insert,100000,6,0.00274179
Insert,100000,7,0.00208561
Insert,100000,8,0.00205633
Insert,100000,9,0.00215413
Insert,100000,10,0.00212551
Search,100000,1,0.00132858
Search,100000,2,0.00125724
Search,100000,3,0.0012378
Search,100000,4,0.00124002
Search,100000,5,0.00128483
Search,100000,6,0.00127457
Search,100000,7,0.00126035
Search,100000,8,0.00125235
Search,100000,9,0.00123919
Search,100000,10,0.00125249
Delete,100000,1,0.00200228
Delete,100000,2,0.0019195
Delete,100000,3,0.00204262
Delete,100000,4,0.001919
Delete,100000,5,0.00188545
Delete,100000,6,0.00186659
Delete,100000,7,0.00201303
Delete,100000,8,0.00173924
Delete,100000,9,0.00161921
Delete,100000,10,0.00157822
Insert,500000,1,0.00175951
Insert,500000,2,0.00225941
Insert,500000,3,0.00251533
Insert,500000,4,0.00277828
Insert,500000,5,0.00277461
Insert,500000,6,0.00289303
Insert,500000,7,0.00289645
Insert,500000,8,0.00288277
Insert,500000,9,0.00299605
Insert,500000,10,0.00298374
Search,500000,1,0.00244585
Search,500000,2,0.00234248
Search,500000,3,0.00243557
Search,500000,4,0.00235989
Search,500000,5,0.00239552
Search,500000,6,0.0023971
Search,500000,7,0.00233457
Search,500000,8,0.00234032
Search,500000,9,0.00239464
Search,500000,10,0.00234149
Delete,500000,1,0.00314587
Delete,500000,2,0.00305979
Delete,500000,3,0.00331638
Delete,500000,4,0.0029621
Delete,500000,5,0.00283548
Delete,500000,6,0.00277304
Delete,500000,7,0.00270074
Delete,500000,8,0.00263956
Delete,500000,9,0.00266634
Delete,500000,10,0.00251003
Insert,1000000,1,0.00196963
Insert,1000000,2,0.00258109
Insert,1000000,3,0.00289888
Insert,1000000,4,0.00310787
Insert,1000000,5,0.00326197
Insert,1000000,6,0.00339896
Insert,1000000,7,0.00349454
Insert,1000000,8,0.00359451
Insert,1000000,9,0.00368183
Insert,1000000,10,0.00376106
Search,1000000,1,0.00321035
Search,1000000,2,0.00321421
Search,1000000,3,0.00320619
Search,1000000,4,0.003219
Search,1000000,5,0.00322463
Search,1000000,6,0.00321577
Search,1000000,7,0.00325351
Search,1000000,8,0.00333244
Search,1000000,9,0.00320396
Search,1000000,10,0.00320166
Delete,1000000,1,0.0040466
Delete,1000000,2,0.00388892
Delete,1000000,3,0.00411566
Delete,1000000,4,0.00367361
Delete,1000000,5,0.00349367
Delete,1000000,6,0.00337729
Delete,1000000,7,0.00332669
Delete,1000000,8,0.00317267
Delete,1000000,9,0.003063
Delete,1000000,10,0.0030054
